LAT,LON,DEP,MAG,EPI-DIS,HYP-DIS,CORD-N,CORD-E,PGA,datetime
42.55,13.309,10.2,2.5,55.7491,56.7818,-52.029,20.025,1.9e-05,18-01-2017 12:07
42.522,13.277,12.3,2.8,57.7322,59.1515,-55.084,17.285,3.5e-05,18-01-2017 12:08
42.526,13.297,9.5,2.9,57.9363,58.8067,-54.741,18.976,4.4e-05,18-01-2017 12:10
42.51,13.382,9.8,2.0,62.2464,63.106,-56.598,25.909,4e-06,18-01-2017 12:13
42.549,13.279,10.6,3.3,54.9847,56.1098,-52.122,17.509,0.000124,18-01-2017 12:14
42.53,13.297,13.4,2.7,57.4602,59.1364,-54.23,18.995,2.7e-05,18-01-2017 12:16
42.514,13.314,10.5,2.1,59.6794,60.6993,-56.101,20.354,6e-06,18-01-2017 12:17
42.582,13.235,10.8,2.3,50.377,51.6464,-48.405,13.956,1.5e-05,18-01-2017 12:21
42.48,13.294,10.1,2.7,62.6336,63.5376,-59.81,18.595,2.2e-05,18-01-2017 12:25
42.545,13.256,13.7,2.5,54.8138,56.6434,-52.529,15.661,1.9e-05,18-01-2017 12:26
42.525,13.354,9.1,2.4,59.8101,60.5883,-54.933,23.656,1.2e-05,18-01-2017 12:27
42.568,13.28,13.8,2.2,53.0717,54.9854,-50.048,17.658,1e-05,18-01-2017 12:28
42.505,13.272,9.8,3.5,59.4752,60.3742,-57.031,16.875,0.00016,18-01-2017 12:30
42.531,13.309,10.2,3.1,57.7663,58.7635,-54.194,19.998,7.1e-05,18-01-2017 12:32
42.514,13.275,10.8,2.7,58.6209,59.7153,-56.059,17.141,2.6e-05,18-01-2017 12:34
42.491,13.293,13.6,2.4,61.4492,63.0641,-58.587,18.537,1.1e-05,18-01-2017 12:36
42.503,13.277,14.2,2.8,59.7705,61.5708,-57.227,17.249,3.1e-05,18-01-2017 12:38
42.566,13.341,9.3,2.4,55.2503,56.1267,-50.371,22.702,1.5e-05,18-01-2017 12:39
42.5,13.293,9.8,2.7,60.5216,61.4053,-57.609,18.549,2.4e-05,18-01-2017 12:41
42.509,13.292,13.5,2.9,59.5114,61.1543,-56.553,18.529,4e-05,18-01-2017 12:42
42.521,13.292,16.3,2.0,58.3074,60.7016,-55.276,18.554,4e-06,18-01-2017 12:49
42.522,13.257,10.7,2.3,57.2546,58.3552,-55.063,15.691,1.1e-05,18-01-2017 12:49
42.556,13.258,11.1,2.2,53.7006,54.9561,-51.311,15.842,1e-05,18-01-2017 12:52
42.519,13.265,13.0,2.1,57.8427,59.4154,-55.487,16.34,6e-06,18-01-2017 12:54
42.561,13.234,12.7,2.2,52.5593,54.211,-50.692,13.884,1e-05,18-01-2017 12:58
42.514,13.275,12.5,2.0,58.5263,59.9701,-55.969,17.11,4e-06,18-01-2017 12:59
42.58,13.298,10.3,2.1,52.3087,53.4282,-48.678,19.147,8e-06,18-01-2017 13:04
42.529,13.352,8.8,2.4,59.2771,60.0146,-54.408,23.527,1.2e-05,18-01-2017 13:09
42.589,13.257,12.5,2.8,50.1756,51.8525,-47.611,15.836,5e-05,18-01-2017 13:11
42.492,13.318,12.1,2.2,62.0491,63.3314,-58.517,20.635,6e-06,18-01-2017 13:13
42.539,13.287,13.6,2.5,56.2762,58.0352,-53.269,18.151,1.8e-05,18-01-2017 13:18
42.485,13.273,11.9,3.7,61.5585,62.8108,-59.187,16.922,0.000222,18-01-2017 13:19
42.527,13.286,11.1,2.7,57.4586,58.6338,-54.555,18.035,2.8e-05,18-01-2017 13:22
42.596,13.303,10.5,2.6,50.881,52.0734,-46.944,19.625,3.1e-05,18-01-2017 13:27
42.592,13.288,7.5,3.0,50.7757,51.4146,-47.33,18.386,8e-05,18-01-2017 13:28
42.515,13.31,10.0,3.0,59.4436,60.3778,-55.983,19.987,5.2e-05,18-01-2017 13:30
42.51,13.305,10.1,2.5,59.8311,60.7768,-56.53,19.598,1.5e-05,18-01-2017 13:31
