animal.id,sex,DT,difft,stepl,vel
3,f,9/20/2017 3:01,4,195.8235402,48.95588506
3,f,9/20/2017 7:01,4,123.1898861,30.79747152
3,f,9/20/2017 11:01,4,196.0727623,49.01819057
3,f,9/20/2017 15:01,4,262.80517,65.70129249
3,f,9/20/2017 19:01,4,100.849087,25.21227174
3,f,9/20/2017 23:01,4,51.69047719,12.9226193
3,f,9/21/2017 2:01,3,32.02565602,10.67521867
3,f,9/21/2017 6:01,4,19.48640758,4.871601896
3,f,9/21/2017 10:01,4,385.5032424,96.37581059
3,f,9/21/2017 14:01,4,1546.124297,386.5310743
3,f,9/21/2017 18:01,4,265.7456011,66.43640027
3,f,9/21/2017 22:01,4,7.819513539,1.954878385
3,f,9/22/2017 1:01,3,12.34988459,4.116628197
3,f,9/22/2017 5:01,4,109.6035354,27.40088385
3,f,9/22/2017 9:01,4,844.2735527,211.0683882
3,f,9/22/2017 13:01,4,34.64230427,8.660576067
3,f,9/22/2017 17:01,4,186.3257529,46.58143823
3,f,9/22/2017 21:01,4,46.93025581,11.73256395
3,f,9/23/2017 0:01,3,30.59385692,10.19795231
3,f,9/23/2017 4:01,4,86.80195883,21.70048971
3,f,9/23/2017 8:01,4,81.24653853,20.31163463
3,f,9/23/2017 12:02,4.016666667,483.4359947,120.357509
3,f,9/23/2017 16:01,3.983333333,338.5947718,85.00287158
3,f,9/23/2017 20:01,4,294.9569042,73.73922605
3,f,9/23/2017 23:01,3,67.3205977,22.44019923
3,f,9/24/2017 3:01,4,43.35438156,10.83859539
3,f,9/24/2017 7:01,4,158.7113014,39.67782536
3,f,9/24/2017 11:01,4,302.0276765,75.50691912
3,f,9/24/2017 15:02,4.016666667,625.1575604,155.6408864
3,f,9/24/2017 19:01,3.983333333,709.841045,178.2027728
3,f,9/24/2017 23:01,4,314.1919089,78.54797723
3,f,9/25/2017 2:01,3,56.92215682,18.97405227
3,f,9/25/2017 6:01,4,17.18441678,4.296104194
3,f,9/25/2017 10:02,4.016666667,153.1381167,38.1256722
3,f,9/25/2017 14:01,3.983333333,445.8723919,111.9344917
3,f,9/25/2017 18:01,4,363.7555408,90.9388852
3,f,9/25/2017 22:01,4,163.9312541,40.98281351
4,m,8/27/2017 7:02,4.016666667,142.7111893,35.52975667
4,m,8/27/2017 11:01,3.983333333,483.9098199,121.4836368
